"","artistName","freq"
"927","Johnny Orlando",1
"928","JoJo",1
"929","Jonah Taylor",1
"930","Jonny Southard",1
"931","Jonny West",1
"932","Jordan Doww",1
"933","Jordin Sparks",1
"934","JORDY",1
"935","Jorge Grundman",1
"936","Josh Turner",1
"937","Josh Wilson",1
"938","Joy Meyer-Williams",1
"939","Judah & the Lion",1
"940","Julia Cooper",1
"941","Junior Garr",1
"942","Kaitlyn Dever",1
"943","Kameron Marlowe",1
"944","Kate Stephenson",1
"945","Kathleen",1
"946","Keala Settle",1
"947","Keiynan Lonsdale",1
"948","Kenny Loggins",1
"949","Kerrie Roberts",1
"950","Kevin Quinn",1
"951","Khruangbin",1
"952","Kidd G",1
"953","Kito",1
"954","Kolby Koloff",1
"955","KYLE",1
"956","Kylie Minogue",1
"957","Lana Del Rey",1
"958","Landry Cantrell",1
"959","Laur Elle",1
"960","Laura Marano",1
"961","Lauren Spencer-Smith",1
"962","Leanna Firestone",1
"963","Leidi",1
"964","Lemondrop",1
"965","LÉON",1
"966","Les Misérables-Original London Cast",1
"967","Lev",1
"968","Libor Kolman",1
"969","Life of Dillon",1
"970","Lihua Zhao",1
"971","Lindsay Ell",1
"972","Lindsay Liebro",1
"973","Line Dances",1
"974","Lisa Cimorelli",1
"975","Live Lounge Allstars",1
"976","Lizzo",1
"977","LO Worship",1
"978","Loren Allred",1
"979","LOS LEO",1
"980","Louis The Child",1
"981","Love & The Outcome",1
"982","Luis Álvarez",1
"983","Luke Bryan",1
"984","LVCRFT",1
"985","Lydia Laird",1
"986","Maddie Zahm",1
"987","Madison Beer",1
"988","Maggie Rogers",1
"989","Mags Duval",1
"990","Mandisa",1
"991","Mannis",1
"992","Marcus Johns",1
"993","Marie Miller",1
"994","Marissa Jaret Winokur",1
"995","Martin Stadtfeld",1
"996","Marvin Hamlisch",1
"997","Mary Mary",1
"998","Matt Luneburg",1
"999","Matthew Chaim",1
"1000","Matthew Parker",1
"1001","Maurice Ravel",1
"1002","Max Casella",1
"1003","Max Richter",1
"1004","Mayday Parade",1
"1005","McKenna Breinholt",1
"1006","Melting Oak",1
"1007","Men Without Hats",1
"1008","Mersisters - The Little Mermaid Original Broadway Cast",1
"1009","Merwin Foard as Pilot",1
"1010","Metallica",1
"1011","Micah Tyler",1
"1012","Michael Barnum",1
"1013","Michael Jackson",1
"1014","Mickey Guyton",1
"1015","Midland",1
"1016","Mikky Ekko",1
"1017","Miles Carter",1
"1018","Mino Monterosso",1
"1019","Monique Galant",1
"1020","Mr. Probz",1
"1021","Mud",1
"1022","My Brothers And I",1
"1023","Nahscha",1
"1024","Nat King Cole",1
"1025","Nat King Cole Trio",1
"1026","Natalie Jane",1
"1027","Natasha Richardson",1
"1028","Nate Smith",1
"1029","Nathan Dawe",1
"1030","New Hope Club",1
"1031","Niall Byrne",1
"1032","Noah Guthrie",1
"1033","Novo Amor",1
"1034","OBB",1
"1035","Octavien X",1
"1036","Olga Scheps",1
"1037","Oliver Heldens",1
"1038","Olivia Lane",1
"1039","Olivia Somerlyn",1
"1040","OREO feat. Owl City",1
"1041","P!nk",1
"1042","Pamela Goldings",1
"1043","Parson James",1
"1044","Party Pupils",1
"1045","Pat Carroll",1
"1046","Peggy Lee",1
"1047","Peter Cavallo",1
"1048","Piano Novel",1
"1049","Picture This",1
"1050","Pink Sweat$",1
"1051","Poison",1
"1052","Post Malone",1
"1053","Prince",1
"1054","Priscilla Betti",1
"1055","Priscilla Block",1
"1056","Pyotr Ilyich Tchaikovsky",1
"1057","Quinn Lewis",1
"1058","R. City",1
"1059","R3HAB",1
"1060","Rachel Zegler",1
"1061","Rag'n'Bone Man",1
"1062","Ragnar Seaholm",1
"1063","Ray LaMontagne",1
"1064","Raye Zaragoza",1
"1065","Raynes",1
"1066","Red Hearse",1
"1067","Regard",1
"1068","ReN",1
"1069","Rence",1
"1070","Rene Auberjonois",1
"1071","Renee Blair",1
"1072","Renée Elise Goldsberry",1
"1073","Rick Springfield",1
"1074","Rihanna",1
"1075","Robert Palmer",1
"1076","Rosalind James",1
"1077","Ross Harris",1
"1078","Ross Lynch",1
"1079","Ruido Rosa",1
"1080","Ruston Kelly",1
"1081","Ryan Mack",1
